Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_220,-0.10296079931745912,-0.19274277357758007,0.08978197426012095,3.1576090142288633,0.001614083259825113,0.1405798086234672
latent_155,0.15600830831793597,0.06056530203451958,0.09544300628341638,3.076276976131304,0.002124028788234181,0.14020706881868417
latent_82,-0.11633541861736375,-0.12913641748460852,0.01280099886724477,3.1385444249082846,0.0017223117187287317,0.13808367382074827
latent_17,-0.24715377543230657,-0.17296916681654806,-0.07418460861575851,-3.0574848441481524,0.002261179586642948,0.13643579589085056
latent_141,0.026832039940926432,0.04677648517660854,-0.019944445235682107,-2.9817908087890417,0.0028998137789236576,0.13453141760660436
latent_176,0.025261122476846046,0.04866637624202847,-0.023405253765182425,-2.904183558381252,0.0037219558115255975,0.1284377984902687
latent_254,0.008864158612528612,0.02539935140564057,-0.01653519279311196,-2.8423069190442263,0.004523637282301828,0.12737729442105694
latent_232,0.0565689960966863,0.07316009377983984,-0.01659109768315354,-2.820402184405684,0.004842999974377929,0.12387402635574792
latent_112,0.12163719776479565,0.08421753310667261,0.037419664658123034,2.709494395053202,0.006795287036892821,0.12192214780650919
latent_202,0.020594073293889646,0.0021243090857651268,0.01846976420812452,2.6953826151052684,0.007088845711195863,0.11906150670404117
latent_224,0.04886484941942915,0.060359514146298934,-0.011494664726869781,-2.554558476106288,0.010704736861020778,0.11461331151603839
latent_16,-0.007503963508535423,0.01044797217188612,-0.01795193568042154,-2.5643303420166146,0.010408944308583678,0.11356976108330906
latent_165,0.007319823916690055,-0.005757918160925266,0.01307774207761532,2.6098157038232324,0.00912574893715686,0.11300355048044237
latent_209,-0.0021606573084673036,0.03113888840009075,-0.03329954570855805,-2.4485546177739423,0.014427228612620422,0.10797946043721503
latent_12,0.00768126262998079,-0.008157990675409251,0.01583925330539004,2.451138490344889,0.014324384803848044,0.10788468788538148
latent_100,-0.0119093809171594,-1.6281744306036693e-06,-0.011907752742728796,-2.457042214275906,0.014091828739372873,0.10697710693421368
latent_7,0.05219181149791553,0.06584398676868326,-0.01365217527076773,-2.3546159597778327,0.018636708016899255,0.10610971803651796
latent_124,0.008163801930345368,0.02524389385839324,-0.01708009192804787,-2.2280575846127553,0.02598596300194877,0.10052726510982828
latent_251,-0.07420005224763174,-0.033501687466370104,-0.04069836478126163,-2.220789480067686,0.026475328490936176,0.09955284504595908
